,Provincia de residencia,Provincia de destino,Flujo origen-destino (nº de personas)
92,"Coruña, A",Pontevedra,4717
93,Cuenca,Albacete,1019
94,Cuenca,Ciudad Real,77
96,Cuenca,Guadalajara,273
97,Cuenca,Madrid,292
98,Cuenca,Toledo,304
99,Cuenca,Valencia/València,229
100,Cáceres,Araba/Álava,48
101,Cáceres,Badajoz,1724
103,Cáceres,Madrid,22
104,Cáceres,Salamanca,222
105,Cáceres,Toledo,90
106,Cáceres,Zaragoza,20
107,Cáceres,Ávila,297
109,Cádiz,Huelva,297
110,Cádiz,Madrid,92
111,Cádiz,Málaga,1804
112,Cádiz,Sevilla,2245
113,Córdoba,Badajoz,183
114,Córdoba,Ciudad Real,512
116,Córdoba,Granada,107
117,Córdoba,Jaén,780
118,Córdoba,Málaga,577
119,Córdoba,Sevilla,2779
120,Gipuzkoa,Araba/Álava,1432
121,Gipuzkoa,Bizkaia,2462
123,Gipuzkoa,Navarra,1071
124,Girona,Alicante/Alacant,95
125,Girona,Barcelona,9753
127,Girona,Lleida,166
128,Girona,Murcia,204
129,Granada,Almería,523
130,Granada,Córdoba,153
132,Granada,Jaén,949
133,Granada,Murcia,57
134,Granada,Málaga,288
135,Granada,Sevilla,21
136,Guadalajara,Cuenca,90
138,Guadalajara,Madrid,12292
139,Guadalajara,Soria,22
140,Guadalajara,Teruel,28
141,Huelva,Araba/Álava,35
142,Huelva,Badajoz,341
143,Huelva,Cádiz,319
145,Huelva,Pontevedra,25
146,Huelva,Sevilla,2166
148,Huesca,Lleida,1380
149,Huesca,Navarra,200
150,Huesca,Zaragoza,655
151,Jaén,Albacete,251
152,Jaén,Ciudad Real,65
153,Jaén,Córdoba,699
154,Jaén,Granada,751
156,Jaén,Murcia,107
157,Jaén,Málaga,19
158,León,Asturias,200
160,León,Lugo,196
161,León,Ourense,490
162,León,Palencia,28
163,León,Zamora,318
164,Lleida,Barcelona,986
165,Lleida,Girona,300
166,Lleida,Huesca,1515
168,Lleida,Navarra,25
169,Lleida,Tarragona,210
170,Lugo,Asturias,2162
171,Lugo,"Coruña, A",829
