address;available;coordinates;free;name;number;open;ticket;total;type;updated_at
Salvador Ferrandis Luna - Juan Bautista Vives;1;[723879.043, 4372250.791];14;218_CALLE_SALVADOR_FERRANDIS_LUNA_ESQ_CALLE_JUAN_B;218;T;T;15;Point;29/06/2016 10:43
Castán Tobeñas - Rincon de Ademuz;0;[723398.615, 4372461.669];18;219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ;219;T;F;18;Point;29/06/2016 10:43
Castán Tobeñas - Patriques;3;[723788.443, 4372594.236];13;220_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_DE_GOYA;220;T;T;16;Point;29/06/2016 10:43
Manuel de Falla - Hernández Lázaro;4;[723394.032, 4372740.052];16;221_AVDA_MANUEL_DE_FALLA_ESQ_CALLE_HERNANDEZ_LAZAR;221;T;T;20;Point;29/06/2016 10:43
Plaza de la Reina - Mar;20;[725785.991, 4372703.856];2;008_PLAZA_DE_LA_REINA_ESQUINA_CALLE_DEL_MAR;8;T;T;23;Point;29/06/2016 10:43
Hospital - Horno del Hospital;9;[725149.845, 4372296.059];3;010_CALLE_DEL_HOSPITAL_FRENTE_CALLE_HORNO_DEL_HOSP;10;T;T;15;Point;29/06/2016 10:43
Plaza Ayuntamiento - Cotanda;12;[725649.875, 4372351.711];15;011_PZA_AYTO_CON_CALLE_COTANDA;11;T;T;27;Point;29/06/2016 10:43
Miñana - Poeta Querol;16;[725888.571, 4372363.111];4;012_CALLE_MINYANA;12;T;T;20;Point;29/06/2016 10:43
Alfonso el Magnánimo - Nave;21;[726155.487, 4372463.775];3;013_PZA. ALFONSO MAGNANIMO_CON_CALLE_LA_NAVE;13;T;T;24;Point;29/06/2016 10:43
Huesca - Barón de Cárcer;6;[725404.105, 4372098.033];14;014_BARÓN CARCER;14;T;T;20;Point;29/06/2016 10:43
Ribera - Plaza Ayuntamiento;27;[725755.339, 4372121.702];7;015_RIBERA;15;T;T;34;Point;29/06/2016 10:43
Colón, 60;8;[726199.811, 4372246.206];12;016_COLON I;16;T;T;20;Point;29/06/2016 10:43
Guillem de Castro (Torres de Quart);13;[725020.763, 4372874.455];2;082_GUILLEN_DE_CASTRO_TORRES_DE_QUART;82;T;F;15;Point;29/06/2016 10:43
Justo y Pastor - Duque de Gaeta;1;[728093.128, 4372255.939];14;098_SANTOS JUSTO Y PASTOR;98;T;T;15;Point;29/06/2016 10:43
Blasco Ibañez - Pintor José Mongrell;3;[728772.337, 4372460.834];18;099_AVDA. BLASCO IBAÑEZ 8;99;T;T;21;Point;29/06/2016 10:43
Blasco Ibañez - Mestre Ripoll;17;[728972.186, 4372498.957];3;100_AVDA. BLASCO IBAÑEZ 9;100;T;F;20;Point;29/06/2016 10:43
Marino Blas de Lezo (estación Cabañal Adif);18;[729303.307, 4372334.766];11;101_AVDA. BLASCO IBAÑEZ 10;101;T;T;30;Point;29/06/2016 10:43
Maestro Rodrigo - Manuel de Falla;1;[723868.082, 4372934.044];16;222_AVDA_MAESTRO_RODRIGO_ESQ_AVDA_MANUEL_DE_FALLA;222;T;F;20;Point;29/06/2016 10:43
La Safor - Maestro Rodrigo;0;[723237.977, 4374139.46];15;242_LA_SAFOR_AVDA_MAESTRO_RODRIGO;242;T;F;15;Point;29/06/2016 10:43
Valle de la Ballestera - Pio Baroja;14;[723101.26, 4373091.117];6;244_AVDA_PIO_BAROJA_VALLE_DE_LA_BALLESTERA;244;T;T;20;Point;29/06/2016 10:43
Nueve de Octubre - Cieza;0;[723172.196, 4372377.044];14;245_9_DE_OCTUBRE_CIEZA;245;T;F;14;Point;29/06/2016 10:43
Ramón Llull - Serpis;8;[728221.158, 4372943.306];12;102_AVDA.RAMON LLUL;102;T;F;20;Point;29/06/2016 10:43
Plaza de los Fueros - Conde Trenor;15;[725740.337, 4373230.46];9;036_PZA_LOS_FUEROS_CONDE_TRENOR;36;T;F;25;Point;29/06/2016 10:43
Peris y Valero - Luis Santángel;1;[726573.03, 4371240.067];19;37_AVDA. PERIS Y VALERO;37;T;T;20;Point;29/06/2016 10:43
Peris y Valero - Cabo Jubi;4;[726250.283, 4371060.021];16;38_AVDA. PERIS Y VALERO;38;T;F;20;Point;29/06/2016 10:43
Peris y Valero - Cuba;2;[725938.466, 4370878.973];16;39_AVDA. PERIS Y VALERO;39;T;T;19;Point;29/06/2016 10:43
Barcas, 11;10;[725820.827, 4372276.702];16;40_CALLE_BARCAS_FRENTE _TEATRO_PRINCIPAL;40;T;T;26;Point;29/06/2016 10:43
Plaza de Europa;1;[727759.956, 4371146.034];19;54_PASEO ALAMEDA;54;T;T;20;Point;29/06/2016 10:43
Francia - Pintor Maella;1;[728105.908, 4371107.879];24;55_AVDA. DE FRANCIA;55;T;F;25;Point;29/06/2016 10:43
Francia - Menorca;0;[728477.293, 4371016.383];15;56_AVDA. DE FRANCIA;56;T;F;15;Point;29/06/2016 10:43
Alameda - Pintor Monleón;15;[727265.727, 4371653.468];5;057_CALLE PINTOR MONLEON;57;T;T;20;Point;29/06/2016 10:43
Plaza España;7;[725252.779, 4371788.228];13;058_PLAZA DE ESPAÑA;58;T;T;20;Point;29/06/2016 10:43
General Urrutia - Granada;4;[726722.808, 4371019.416];16;41_AVDA. GRAL. URRUTIA;41;T;F;20;Point;29/06/2016 10:43
Tres Cruces - Músico Ayllón;11;[723185.17, 4371860.828];4;247_AVDA_TRES_CRUCES_MUSICO_AYLLON;247;T;T;15;Point;29/06/2016 10:43
Av. de la Plata (Museo Fallero);6;[727249.674, 4371020.291];13;42_AVDA. DE LA PLATA;42;T;T;20;Point;29/06/2016 10:43
Escultor José Capuz - Oriente;7;[727032.722, 4371091.257];13;43_C/ DE ORIENTE;43;T;F;20;Point;29/06/2016 10:43
General Urrutia - Av. de la Plata;6;[726882.491, 4370748.231];13;44_AVDA. GRAL. URRUTIA;44;T;T;19;Point;29/06/2016 10:43
Hermanos Maristas - General Urrutia;9;[726990.707, 4370461.433];6;45_AVDA. GRAL. URRUTIA;45;T;F;15;Point;29/06/2016 10:43
Pintor Luis Arcas - Inst. Obrero Valenciano;7;[727249.221, 4370656.763];13;46_AVDA. INSTITUTO OBRERO DE VALENCIA;46;T;F;20;Point;29/06/2016 10:43
Autopista del Saler - Puente Monteolivete;9;[727535.862, 4370776.603];11;47_AVDA. AUTOPISTA DEL SALER;47;T;T;20;Point;29/06/2016 10:43
Antonio Ferrandis - General Urrutia;11;[727284.71, 4370135.431];9;48_AVDA. ANTONIO FERRANDIS;48;T;F;20;Point;29/06/2016 10:43
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler);18;[727401.736, 4370381.009];7;49_C/ RICARDO MUÑOZ SUAY;49;T;F;25;Point;29/06/2016 10:43
Autopista del Saler - Antonio Ferrandis (C.C. El Saler);13;[727766.482, 4370428.526];27;50_AVDA. AUTOPISTA DEL SALER;50;T;T;40;Point;29/06/2016 10:43
Moreras (Oceanográfico);17;[728254.851, 4370316.791];3;51_PSO. DE LAS MORERAS;51;T;T;20;Point;29/06/2016 10:43
Luis García Berlanga Martí - Menorca;17;[728318.593, 4370746.512];8;52_C/ LUIS GARCIA BERLANGA;52;T;T;25;Point;29/06/2016 10:43
Alameda - Pintor Maella;18;[728161.402, 4370822.987];7;53_C/ LUIS GARCIA BERLANGA;53;T;F;25;Point;29/06/2016 10:43
Baleares - Río Escalona;4;[727589.205, 4371508.755];11;059_AVDA. DE BALEARES I;59;T;T;15;Point;29/06/2016 10:43
Baleares - Lebón;2;[727830.598, 4371420.636];17;060_AVDA.BALEARES II;60;T;F;19;Point;29/06/2016 10:43
Vicent Vidal - Pintor Maella;2;[728173.192, 4371326.503];17;061_VICENTE VIDAL;61;T;T;20;Point;29/06/2016 10:43
Menorca - Baleares;2;[728666.608, 4371176.395];18;062_MENORCA;62;T;T;20;Point;29/06/2016 10:43
Albalat dels Tarongers - Professor Ernest Lluch;20;[728676.955, 4373057.96];5;106_AVDA. DE LOS NARANJOS;106;T;F;25;Point;29/06/2016 10:43
Campillo de Altobuey (Polideportivo);15;[729126.028, 4372904.69];0;107_C/ CAMPILLO ALTO BUEY;107;T;F;15;Point;29/06/2016 10:43
Alfambra - Poeta Monmeneu;3;[725690.054, 4373638.278];12;133_C/ ALFAMBRA;133;T;F;15;Point;29/06/2016 10:43
Tres Cruces - Jose Maria Mortes Lerma;16;[723251.749, 4371355.044];4;248_AVDA_TRES_CRUCES_JOSE_MARIA_MORTES_LERMA;248;T;F;20;Point;29/06/2016 10:43
Av Puerto 19 (Telefónica);19;[727241.381, 4372019.713];1;063_AVDA. DEL PUERTO I;63;T;T;20;Point;29/06/2016 10:43
Av. Puerto 61-63;1;[727608.482, 4371890.391];18;064_AVDA. DEL PUERTO II;64;T;F;20;Point;29/06/2016 10:43
Av. Puerto - Doctor Manuel Candela;0;[727900.669, 4371787.657];19;065_AVDA. DEL PUERTO III;65;T;T;19;Point;29/06/2016 10:43
Guillem de Anglesola - Av. Puerto;0;[728298.458, 4371661.047];24;066_GUILLEN DE ANGLESOLA;66;T;F;25;Point;29/06/2016 10:43
Juan Verdeguer - Toneleros;7;[729130.423, 4371084.436];7;067_JUAN VERDEGUER;67;T;F;14;Point;29/06/2016 10:43
Av. Puerto - José Aguilar;11;[728692.861, 4371509.581];9;068_AVDA. DEL PUERTO IV;68;T;T;20;Point;29/06/2016 10:43
Av. Puerto - Serrería;24;[728954.814, 4371422.769];0;069_AVDA. DEL PUERTO;69;T;F;25;Point;29/06/2016 10:43
Colón, 27;17;[726096.35, 4372165.196];0;70_CALLE_COLON_ESQ_ALMIRANTE_ROGER_DE_LAURIA;70;T;F;17;Point;29/06/2016 10:43
Av. Puerto - Plaza Tribunal de les Aigües;8;[729406.548, 4371261.476];12;071_AVDA DEL PUERTO VI;71;T;F;20;Point;29/06/2016 10:43
República Argentina - Campoamor;0;[727804.801, 4372517.761];25;075_CAMPOAMOR I;75;T;F;25;Point;29/06/2016 10:43
Campoamor - Músico Ginés;8;[728520.347, 4372313.3];9;076_CAMPOAMOR II;76;T;T;19;Point;29/06/2016 10:43
Molinell - Calderón de la Barca;11;[726561.529, 4373910.028];8;77_C/ MOLINELL;77;T;T;20;Point;29/06/2016 10:43
