address;available;coordinates;free;name;number;open;ticket;total;type;updated_at
Corts Valencianes - La Safor;5;[723687.622, 4374480.945];25;226_CALLE_SAFOR_ESQ_AVDA_DE_LAS_CORTES_VALENCIANAS;226;T;F;30;Point;29/06/2016 10:43
Rio Segre - Rafael Company;4;[725100.155, 4374988.713];9;236_RIO_SEGRE_RAFAEL_COMPANY;236;T;T;15;Point;29/06/2016 10:43
Levante U.D. - Ecuador;0;[724347.763, 4374932.654];15;237_LEVANTE_UD_AVDA_ECUADOR;237;T;T;15;Point;29/06/2016 10:43
San Jose Artesano - Francisco Morote Greus;1;[724051.437, 4375223.032];14;238_SAN_JOSE_ARTESANO_FRANCISCO_MOROTE_GREUS;238;T;F;15;Point;29/06/2016 10:43
Florista - T4 (Palau de Congressos);2;[723572.961, 4375157.649];18;239_LA_FLORISTA_TRANVIA_PALACIO_CONGRESOS;239;T;T;20;Point;29/06/2016 10:43
Pavía - Acequia de la Cadena;6;[730126.267, 4372896.898];14;167_PAVIA 3;167;T;F;20;Point;29/06/2016 10:43
Malvarrosa - Río Tajo;2;[729837.887, 4373106.43];13;168_AVDA. MALVARROSA;168;T;F;15;Point;29/06/2016 10:43
Ausias March - Pianista Amparo Iturbi;4;[725857.325, 4370607.531];17;182_AVDA_AUSIAS_MARCH;182;T;F;21;Point;29/06/2016 10:43
Plaza Músico Espí;0;[725838.062, 4375169.408];11;234_PLAZA MUSICO_ESPI_JOSE_ESTEVE;234;T;F;15;Point;29/06/2016 10:43
Conde Torrefiel - Cecilio Plá;9;[725526.985, 4375332.096];6;235_CONDE_DE_TORREFIEL_CECILIO_PLA;235;T;T;15;Point;29/06/2016 10:43
La Vall d'Albaida - Corts Valencianes;6;[723420.161, 4374708.078];9;241_VALL_DE_ALBAIDA_PEATONAL;241;T;F;15;Point;29/06/2016 10:43
Ausias March - Av. de la Plata;0;[726097.133, 4370302.116];17;183_AVDA_AUSIAS_MARCH;183;T;T;18;Point;29/06/2016 10:43
Bombero Ramón Duart - Hermanos Maristas;10;[726674.382, 4370336.97];4;184_CALLE_BOMBER_RAMON_DUART;184;T;F;15;Point;29/06/2016 10:43
Ebanista Caselles - Ausias March;0;[726258.742, 4370020.644];14;185_AVDA_AUSIAS_MARCH;185;T;F;15;Point;29/06/2016 10:43
Benifairó de Valldigna - Joaquín Benlloch;1;[725955.382, 4370050.348];13;186_CALLE_INGENIERO_JOAQUIN_BENLLOCH;186;T;F;14;Point;29/06/2016 10:43
Ángel Villena - Ausias March;1;[726410.505, 4369793.547];14;187_AVDA_AUSIAS_MARCH;187;T;T;15;Point;29/06/2016 10:43
Hospital Nueva Fe (consultas externas);17;[725993.732, 4369396.438];6;188_HOSPITAL_NUEVA_FE;188;T;F;40;Point;29/06/2016 10:43
Hospital Nueva Fe (administración);6;[725811.479, 4369410.682];24;189_HOSPITAL_NUEVA_FE;189;T;T;30;Point;29/06/2016 10:43
Cra. Malilla - Bulevar Sur;14;[725428.757, 4369556.305];4;190_CTRA_MALILLA;190;T;T;18;Point;29/06/2016 10:43
Esparraguera - Cra. Malilla;2;[725538.115, 4370031.311];13;191_CTRA_MALILLA;191;T;F;15;Point;29/06/2016 10:43
San Clemente - Hospital Arnau de Vilanova;18;[723339.372, 4374402.457];2;227_CALLE_SAN_CLEMENTE_ENTRA_HOSPITAL_ARNAU_VILANO;227;T;T;20;Point;29/06/2016 10:43
Doctor Nicasio Benlloch - L'Horta Sud;5;[723694.722, 4374795.329];10;228_AVDA_NICASIO_BENLLOCH_ESQ_CALLE_L'HORTA_SUD;228;T;T;15;Point;29/06/2016 10:43
Aitana - Florista;1;[724029.017, 4374739.671];15;229_CALLE_AITANA_ESQ_AVDA_BURJASSOT;229;T;F;16;Point;29/06/2016 10:43
Poeta Serrano Clavero - General Llorens;0;[724713.645, 4374942.378];15;230_CALLE_POETA_SERRANO_CLAVERO_EQ_GENERAL_LLORENS;230;T;F;15;Point;29/06/2016 10:43
Alcañiz - Cambrils;1;[725414.648, 4374998.531];14;231_CALLE_DE_ALCAÑIZ_ESQ_CALLE_CAMBRILS;231;T;T;15;Point;29/06/2016 10:43
San Vicente Paul - Santiago Rusiñol;7;[726522.722, 4374983.326];5;232_SAN_VICENTE_DE_PAUL_SANTIAGO_RUSIÑOL;232;T;T;15;Point;29/06/2016 10:43
San Juan Bosco - Santiago Rusiñol;6;[726197.725, 4375253.346];9;233_SAN_JUAN_BOSCO_SANTIAGO_RUSIÑOL;233;T;T;15;Point;29/06/2016 10:43
Campanar - Nicasio Benlloch;2;[724493.172, 4374186.525];18;140_AVENIDA_CAMPANAR;140;T;F;20;Point;29/06/2016 10:43
Plaza Salvador Soria, 8;3;[724673.385, 4369442.063];16;257_PLAZA_SALVADOR_SORIA_ESQ_PIO_X;257;T;F;20;Point;29/06/2016 10:43
Gregorio Gea - Padre Ferris;10;[724890.673, 4373671.905];10;141_C/ GREGORIO GEA (PEATONAL);141;T;T;20;Point;29/06/2016 10:43
Gregorio Gea - Profesor Beltrán Báguena;12;[724507.676, 4373511.035];11;142_C/ GREGORIO GEA (PEATONAL);142;T;F;23;Point;29/06/2016 10:43
Pio XII - Menéndez PIdal (Nuevo Centro);6;[724405.493, 4373243.332];24;143_AVDA. MENENDEZ PIDAL;143;T;T;30;Point;29/06/2016 10:43
Marqués de San Juan - Diputat Lluís Lucía;4;[724017.044, 4373147.877];11;144_CALLE_MARQUES_DE_SAN_JUAN;144;T;F;15;Point;29/06/2016 10:43
Plaza Badajoz;10;[723757.412, 4373447.885];5;145_PLAZA_BADAJOZ;145;T;F;15;Point;29/06/2016 10:43
Pescadores - Progreso;7;[729717.505, 4372325.704];7;154_PESCADORES;154;T;F;15;Point;29/06/2016 10:43
Pavía (Instituto Isabel de Villena);15;[730110.471, 4373327.171];5;169_PAVIA 4;169;T;T;20;Point;29/06/2016 10:43
Isabel de Villena - Mendizábal;1;[730037.393, 4373790.296];19;170_PAVIA 5;170;T;F;20;Point;29/06/2016 10:43
Gran Canaria - Ingeniero Manuel Maese;1;[729721.075, 4373790.572];14;171_CALLE GRAN CANARIA;171;T;F;15;Point;29/06/2016 10:43
Pío XII - Campanar;0;[724192.082, 4373451.012];20;172_AVENIDA_PIO_XII;172;T;T;20;Point;29/06/2016 10:43
Pío XII - Monestir de Poblet;5;[724067.53, 4373789.471];15;173_AVENIDA_PIO_XII_34;173;T;F;20;Point;29/06/2016 10:43
Monduber - Peset Aleixandre;0;[724742.544, 4374353.071];19;174_CALLE_MONDUBER;174;T;T;19;Point;29/06/2016 10:43
Juan XXIII - Domingo Gómez;10;[725070.824, 4374712.673];5;175_CALLE_JUAN_XXIII;175;T;T;15;Point;29/06/2016 10:43
Cno. Moncada - Pedro Patricio Mey;0;[725404.568, 4374658.835];20;176_CAMINO_DE_MONCADA_52;176;T;F;20;Point;29/06/2016 10:43
Alcudia de Crespins - Pedro Patricio Mey;3;[725861.045, 4374841.896];12;177_CALLE_ALCUDIA;177;T;T;15;Point;29/06/2016 10:43
Reig Genovés - Ramón Contreras Mongrell;0;[726121.82, 4374701.859];20;178_CALLE_REIG_GENOVES;178;T;F;20;Point;29/06/2016 10:43
Av. de la Plata - Zapadores;5;[726591.991, 4370633.414];18;179_AVENIDA_DE_LA_PLATA_45;179;T;F;23;Point;29/06/2016 10:43
Doctor Waksman - Nieves;5;[726223.891, 4370683.656];15;180_AVENIDA_DOCTOR_WAKSMAN;180;T;T;20;Point;29/06/2016 10:43
Zapadores, 23;2;[726431.916, 4370909.48];13;181_CALLE_DEL_SALINAR;181;T;T;15;Point;29/06/2016 10:43
Tres Forques - Turís;1;[724343.803, 4371511.339];14;256_AVDA_TRES_FORQUES_TURIS;256;T;F;15;Point;29/06/2016 10:43
Giorgeta - Roig de Corella;9;[725042.932, 4371022.899];7;195_CALLE_GIORGETA;195;T;F;16;Point;29/06/2016 10:43
Jerónimo Muñoz - Gaspar Aguilar;13;[724716.63, 4371034.651];2;196_AVDA_GASPAR_AGUILAR;196;T;T;15;Point;29/06/2016 10:43
Doctor Tomás Sala - Carteros;12;[724595.497, 4369713.435];7;254_AVDA_DR_TOMAS_SALA_CARTEROS;254;T;T;19;Point;29/06/2016 10:43
Tomas de Villarroya - San Vicente;15;[724930.138, 4369721.913];3;255_SAN_VICENTE_MARTIR_TOMAS_DE_VILLAROYA;255;T;F;18;Point;29/06/2016 10:43
Fontanars dels Aforins - Jacinto Labaila;11;[724353.939, 4370869.611];4;197_CALLE_FONTANARS_DELS_AFORINS;197;T;F;15;Point;29/06/2016 10:43
Fontanars dels Aforins - Vall d'Uixó;10;[724088.606, 4371161.449];10;198_CALLE_FONTANARS_DELS_AFORINS;198;T;T;20;Point;29/06/2016 10:43
Beato Nicolás Factor - Convento de Jesús;3;[724409.686, 4371249.394];11;199_CALLE_BEATO_NICOLAS_FACTOR;199;T;F;15;Point;29/06/2016 10:43
Av. del Cid - Julián Peña;2;[724247.446, 4371927.825];12;200_AVDA_DEL_CID;200;T;F;15;Point;29/06/2016 10:43
Perez Galdós - Nou Moles;2;[724195.618, 4372367.93];18;201_AVDA_PEREZ_GALDOS;201;T;F;20;Point;29/06/2016 10:43
Reina Violante - Escultor García Mas;2;[723507.867, 4373780.853];13;203_CALLE_REINA_VIOLANTE;203;T;F;15;Point;29/06/2016 10:43
Corts Valencianes - General Avilés;5;[723899.147, 4373929.248];15;204_AVDA_GENERAL_AVILES;204;T;T;20;Point;29/06/2016 10:43
Nicasio Benlloch - Amics dels Corpus;13;[724188.869, 4374320.244];11;205_CALLE_NICASIO_BENLLOCH;205;T;T;24;Point;29/06/2016 10:43
Periodista Gil Sumbiela - Poeta Serrano Clavero;3;[724529.022, 4374710.606];12;206_CALLE_PERIODISTA_GIL_SUMBIELA;206;T;F;15;Point;29/06/2016 10:43
Giorgeta, 64;7;[725260.252, 4370585.826];8;207_CALLE_MILLARES_ESQ_CALLE_FEDERICO_GARCA_LORCA;207;T;F;15;Point;29/06/2016 10:43
Carteros - Mossen Febrer;12;[724697.936, 4370158.341];7;208_CALLE_CARTEROS_ESQ_CALLE_MOSSEN_FEBRER;208;T;F;20;Point;29/06/2016 10:43
Gaspar Aguilar - Músico Penella;14;[724314.852, 4370190.576];4;209_AVDA_GASPAR_AGUILAR_ESQ_CALLE_MUSICO_PENELLA;209;T;T;18;Point;29/06/2016 10:43
Campos Crespo - Juan de Garay;12;[723985.229, 4370566.657];3;210_CALLE_CAMPOS_CRESPO_ESQ_CALLE_JUAN_DE_GARAY;210;T;T;15;Point;29/06/2016 10:43
Tres Cruces - Pio XI;10;[723659.74, 4370615.473];5;250_AVDA_TRES_CRUCES_PIO_XI;250;T;F;15;Point;29/06/2016 10:43
Arquitecto Segura del Lago - Camino Nuevo de Picaña;9;[723322.006, 4370578.296];6;251_ARQUITECTO_SEGURA_LAGO_CAMINO_NUEVO_DE_PICAÑA;251;T;T;15;Point;29/06/2016 10:43
Dels Gremis - Campos Crespo;15;[723411.93, 4369965.202];5;252_DE_LOS_GREMIOS_CAMPOS_CRESPO;252;T;T;20;Point;29/06/2016 10:43
José Meliá Castelló - Campos Crespo;5;[723616.945, 4370241.96];10;253_PLAZA_JOSE_MELIA_CASTELLO_CAMPOS_CRESPO;253;T;F;15;Point;29/06/2016 10:43
Estación AVE Joaquín Sorolla;8;[725322.215, 4371212.544];32;194_ESTACION_AVE_JOAQUIN_SOROLLA;194;T;T;40;Point;29/06/2016 10:43
Fray Junípero Serra - Vall d'Uixó;11;[723885.477, 4370916.28];4;211_CALLE_FRAY_JUNÍPERO_SERRA_ESQ_CALLE_VALL_D'UIX;211;T;F;15;Point;29/06/2016 10:43
Fray Juanípero Serra - Torrente;11;[723649.564, 4371215.869];4;212_CALLE_FRAY_JUANÍPERO_SERRA_ESQ_CALLE_TORRENTE;212;T;T;15;Point;29/06/2016 10:43
Archiduque Carlos - José María Mortes Lerma;10;[723938.787, 4371410.971];5;213_CALLE_ARCHIDUQUE_CARLOS_ESQ_CALLE_JOSE_MA_MOR;213;T;F;15;Point;29/06/2016 10:43
Santa Cruz de Tenerife, 21;8;[723623.032, 4371598.159];6;214_CALLE_SANTA_CRUZ_DE_TENERIFE_ESQ_CALLE_LLOMBA;214;T;T;15;Point;29/06/2016 10:43
Av. del Cid - Burgos;13;[723734.369, 4372039.753];4;216_AVDA_DEL_CID_ESQ_CALLE_BURGOS;216;T;F;17;Point;29/06/2016 10:43
Pintor Rafael Solves - Jose Soto Mico;0;[724687.984, 4368840.015];15;258_PINTOR_RAFAEL_SOLVES_ESQ_JOSE_SOTO_MICO;258;T;T;15;Point;29/06/2016 10:43
Pio IX - Músico Cabanilles;5;[724336.117, 4369455.518];15;259_CALLE_PIO_IX_POLIDEPORTIVO_RAMBLETA;259;T;T;20;Point;29/06/2016 10:43
Traginers - Pedrapiquers;15;[723068.818, 4370984.943];5;260_DELS_FERRERS_ESQ_TRAGINERS;260;T;F;20;Point;29/06/2016 10:43
Plaza Xuquer - Vinalopó;4;[727903.805, 4373027.62];15;261_PZA_XUQUER_ESQ_VINALOPO;261;T;F;19;Point;29/06/2016 10:43
Tres Forques - Colonia Española de Mexico;13;[722883.536, 4371414.658];4;262_AVDA_TRES_FORQUES_COLONIA_ESPANOLA_DE_MEXICO;262;T;T;20;Point;29/06/2016 10:43
Padre Esteban Pernet - Casa Misericordia;0;[722836.087, 4371810.01];18;263_PADRE ESTEBAN_PERNET_ANTES_CASA_MISERICORDIA;263;T;F;18;Point;29/06/2016 10:43
Av. del Cid - Marconi;5;[722417.397, 4372033.167];15;264_AVDA_CID_ANTES_MARCONI;264;T;T;20;Point;29/06/2016 10:43
Alcasser - Poeta Alberto Lista;1;[722954.913, 4372250.029];14;265_C_ALCASSER_POETA_ALBERTO_LISTA;265;T;F;15;Point;29/06/2016 10:43
Canal de Navarrés - Maestro Rodrigo;2;[723043.372, 4374398.48];16;266_PLANA_ALTA_ESQ_AVDA_MAESTRO_RODRIGO;266;T;T;18;Point;29/06/2016 10:43
Beniferri - Vicent Tomás Martí;1;[723068.981, 4374830.155];15;267_C_BENIFERRI_VICENTE_TOMAS_MARTI;267;T;F;16;Point;29/06/2016 10:43
Plaza Luis Cano, 5;10;[721965.27, 4375606.862];4;268_PZA_LUIS_CANO_5;268;T;T;14;Point;29/06/2016 10:43
Campamento, 81;1;[721301.976, 4375417.006];14;269_CAMPAMENTO_81;269;T;F;15;Point;29/06/2016 10:43
Ninot - Regino Mas;1;[724171.478, 4375518.246];15;270_CALLE_NINOT_ESQ_PZA_REGINO_MAS;270;T;T;16;Point;29/06/2016 10:43
Salvador Cerveró - Carlos Cortina;7;[724431.858, 4375437.359];8;271_CALLE_SALVADOR_CERVERÓ_CALLE_CARLOS_CORTINA;271;T;F;15;Point;29/06/2016 10:43
Vicente la Roda - Ingeniero Fausto Elio;10;[729455.38, 4373511.941];5;272_VICENTE_LA_RODA_C_INGENIERO_FAUSTO_ELIO;272;T;F;15;Point;29/06/2016 10:43
Moraira - Alta del Mar;9;[729461.936, 4370143.776];5;273_CALLE_MORAIRA_CALLE_DALT_DE_LA_MAR;273;T;T;15;Point;29/06/2016 10:43
San Francisco de Paula - Castell de Pop;5;[729476.507, 4369895.897];10;274_MANUEL_ANDRES_CASTELL_DE_POLOP;274;T;F;15;Point;29/06/2016 10:43
Moreras - Rona de Nazaret;0;[729301.066, 4370361.218];20;275_CAMINO_DE_LAS_MORERAS_ESQ_RONDA_DE_NAZARET;275;T;F;20;Point;29/06/2016 10:43
Veles e Vents;3;[730241.616, 4371463.445];17;276_EDIFICIO_VELES_E_VENTS;276;T;T;20;Point;29/06/2016 10:43
